,AMZN,AMZN_k_period_min,AMZN_k_period_max,AMZN_k_component_fast,AMZN_d_component_slow,AMZN_sma_fast,AMZN_sma_slow,AMZN_stoch_oscl_exit,AMZN_stoch_oscl_signal,%K_80,%K_20,AMZN_position,AMZN_entry_exit_position,AMZN_portfolio_holdings,AMZN_portfolio_cash,AMZN_portfolio_total,AMZN_portfolio_daily_returns,AMZN_portfolio_cumulative_returns
2017-10-19,986.6,957.06,1008.99,56.884267282880884,77.92541241414729,1000.472,985.9386666666667,0,0,93,28,0,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2017-10-20,982.91,957.06,1008.99,49.778548045445774,61.18492842929587,996.366,987.4333333333333,0,0,93,28,0,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2017-10-23,966.34,965.47,1008.99,1.9990808823529524,36.220632070226536,988.366,987.9366666666667,0,0,93,28,0,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2017-10-24,976.0,966.34,1008.99,22.649472450175786,24.80903379265817,981.768,989.1993333333335,1,1,93,28,500,500.0,488000.0,512000.0,1000000.0,0.0,0.0
2017-10-25,972.91,966.34,1008.99,15.404454865181572,13.351002732570104,976.952,989.6953333333333,0,1,93,28,500,0.0,486455.0,512000.0,998455.0,-0.0015450000000000186,-0.0015450000000000186
2017-10-26,972.54,966.34,1008.99,14.536928487690352,17.530285267682572,974.14,989.122,0,1,93,28,500,0.0,486270.0,512000.0,998270.0,-0.00018528626728298025,-0.0017300000000000093
2017-10-27,1100.99,966.34,1100.99,100.0,43.31379445095731,997.756,996.554,0,1,93,28,500,0.0,550495.0,512000.0,1062495.0,0.06433630180211769,0.06249499999999997
2017-10-30,1110.85,966.34,1110.85,100.0,71.51230949589679,1026.658,1004.5446666666667,0,1,93,28,500,0.0,555425.0,512000.0,1067425.0,0.0046400218353968015,0.06742499999999985
2017-10-31,1105.67,966.34,1110.85,96.41547297764872,98.80515765921625,1052.592,1012.4426666666666,0,1,93,28,500,0.0,552835.0,512000.0,1064835.0,-0.002426399981263372,0.06483499999999975
2017-11-01,1103.5,966.34,1110.85,94.91384679260958,97.10977325675276,1078.71,1019.6759999999999,0,1,93,28,500,0.0,551750.0,512000.0,1063750.0,-0.0010189372062338053,0.06374999999999975
