,AMZN,AMZN_k_period_min,AMZN_k_period_max,AMZN_k_component_fast,AMZN_d_component_slow,AMZN_sma_fast,AMZN_sma_slow,AMZN_stoch_oscl_exit,AMZN_stoch_oscl_signal,%K_80,%K_20,AMZN_position,AMZN_entry_exit_position,AMZN_portfolio_holdings,AMZN_portfolio_cash,AMZN_portfolio_total,AMZN_portfolio_daily_returns,AMZN_portfolio_cumulative_returns
2017-10-19,986.6,957.06,1008.99,56.884267282880884,77.92541241414729,999.7757142857142,987.7564285714286,0,0,80,28,0,0.0,0.0,100000.0,100000.0,0.0,0.0
2017-10-20,982.91,957.06,1008.99,49.778548045445774,61.18492842929587,998.0485714285714,989.4792857142858,0,0,80,28,0,0.0,0.0,100000.0,100000.0,0.0,0.0
2017-10-23,966.34,965.47,1008.99,1.9990808823529524,36.220632070226536,993.0871428571428,990.142142857143,0,0,80,28,0,0.0,0.0,100000.0,100000.0,0.0,0.0
2017-10-24,976.0,966.34,1008.99,22.649472450175786,24.80903379265817,989.1671428571428,990.8942857142857,1,1,80,28,500,500.0,488000.0,-388000.0,100000.0,0.0,0.0
2017-10-25,972.91,966.34,1008.99,15.404454865181572,13.351002732570104,984.3914285714285,990.3064285714287,-1,0,80,28,0,-500.0,0.0,98455.0,98455.0,-0.015449999999999964,-0.015449999999999964
2017-10-26,972.54,966.34,1008.99,14.536928487690352,17.530285267682572,979.1842857142858,989.0942857142857,1,1,80,28,500,500.0,486270.0,-387815.0,98455.0,0.0,-0.015449999999999964
2017-10-27,1100.99,966.34,1100.99,100.0,43.31379445095731,994.0414285714286,996.9514285714286,-1,0,80,28,0,-500.0,0.0,162680.0,162680.0,0.6523284749377889,0.6268
2017-10-30,1110.85,966.34,1110.85,100.0,71.51230949589679,1011.7914285714286,1005.7835714285713,0,0,80,28,0,0.0,0.0,162680.0,162680.0,0.0,0.6268
2017-10-31,1105.67,966.34,1110.85,96.41547297764872,98.80515765921625,1029.3285714285714,1013.6885714285714,0,0,80,28,0,0.0,0.0,162680.0,162680.0,0.0,0.6268
2017-11-01,1103.5,966.34,1110.85,94.91384679260958,97.10977325675276,1048.922857142857,1021.005,0,0,80,28,0,0.0,0.0,162680.0,162680.0,0.0,0.6268
