,AMZN,AMZN_k_period_min,AMZN_k_period_max,AMZN_k_component_fast,AMZN_d_component_slow,AMZN_sma_fast,AMZN_sma_slow,AMZN_stoch_oscl_exit,AMZN_stoch_oscl_signal,%K_80,%K_20,AMZN_position,AMZN_entry_exit_position,AMZN_portfolio_holdings,AMZN_portfolio_cash,AMZN_portfolio_total,AMZN_portfolio_daily_returns,AMZN_portfolio_cumulative_returns
2017-10-06,989.51,957.06,989.51,100.0,79.03422982885063,978.7066666666666,970.3939999999999,0,0,66,6,0,0.0,-494755.0,1590570.0,1095815.0,-0.0038045454545454493,-0.0038045454545454493
2017-10-09,990.99,965.47,990.99,100.0,100.0,987.2133333333333,976.8340000000001,0,0,66,6,0,0.0,-495495.0,1590570.0,1095075.0,-0.0006752964688382379,-0.004477272727272719
2017-10-10,987.2,981.14,990.99,61.522842639594366,90.3807106598986,989.2333333333332,982.8619999999999,0,0,66,6,0,0.0,-493600.0,1590570.0,1096970.0,0.0017304750816153902,-0.002754545454545454
2017-10-11,995.0,987.2,995.0,100.0,90.3807106598986,991.0633333333334,988.768,0,0,66,6,0,0.0,-497500.0,1590570.0,1093070.0,-0.003555247636671921,-0.006299999999999972
2017-10-12,1001.07,987.2,1001.07,100.0,90.3807106598986,994.4233333333333,992.7539999999999,0,0,66,6,0,0.0,-500535.0,1590570.0,1090035.0,-0.0027765833844126675,-0.00905909090909085
2017-10-13,1003.44,987.2,1003.44,100.0,90.3807106598986,999.8366666666667,995.54,0,0,66,6,0,0.0,-501720.0,1590570.0,1088850.0,-0.001087121055745932,-0.01013636363636361
2017-10-16,1006.34,995.0,1006.34,100.0,100.0,1003.6166666666668,998.61,0,0,66,6,0,0.0,-503170.0,1590570.0,1087400.0,-0.001331680213068842,-0.011454545454545384
2017-10-17,1008.99,1001.07,1008.99,100.0,100.0,1006.2566666666667,1002.9680000000001,0,0,66,6,0,0.0,-504495.0,1590570.0,1086075.0,-0.0012185028508369111,-0.012659090909090898
2017-10-18,996.99,996.99,1008.99,0.0,75.0,1004.1066666666666,1003.366,0,0,66,6,0,0.0,-498495.0,1590570.0,1092075.0,0.005524480353566785,-0.007204545454545408
2017-10-19,986.6,986.6,1008.99,0.0,50.0,997.5266666666666,1000.472,0,0,66,6,0,0.0,-493300.0,1590570.0,1097270.0,0.00475699929034179,-0.0024818181818181406
2017-10-20,982.91,982.91,1008.99,0.0,25.0,988.8333333333334,996.366,0,0,66,6,0,0.0,-491455.0,1590570.0,1099115.0,0.0016814457699563246,-0.0008045454545454467
2017-10-23,966.34,966.34,996.99,0.0,0.0,978.6166666666667,988.366,0,0,66,6,0,0.0,-483170.0,1590570.0,1107400.0,0.007537882751122549,0.006727272727272693
2017-10-24,976.0,966.34,986.6,47.68015794669285,11.920039486673213,975.0833333333334,981.768,0,0,66,6,0,0.0,-488000.0,1590570.0,1102570.0,-0.004361567635903896,0.002336363636363581
2017-10-25,972.91,966.34,982.91,39.64996982498468,21.83253194291938,971.75,976.952,0,0,66,6,0,0.0,-486455.0,1590570.0,1104115.0,0.0014012715745939097,0.0037409090909090725
2017-10-26,972.54,966.34,976.0,64.18219461697673,37.87808059716357,973.8166666666666,974.14,0,0,66,6,0,0.0,-486270.0,1590570.0,1104300.0,0.0001675550101212231,0.003909090909090862
2017-10-27,1100.99,972.54,1100.99,100.0,62.87808059716357,1015.4799999999999,997.756,1,1,66,6,500,500.0,0.0,1040075.0,1040075.0,-0.0581590147604818,-0.05447727272727276
2017-10-30,1110.85,972.54,1110.85,100.0,75.95804111049036,1061.46,1026.658,-1,0,66,6,0,-500.0,-555425.0,1595500.0,1040075.0,0.0,-0.05447727272727276
2017-10-31,1105.67,972.54,1110.85,96.25478996457245,90.1092461453873,1105.8366666666668,1052.592,0,0,66,6,0,0.0,-552835.0,1595500.0,1042665.0,0.002490205033290893,-0.052122727272727265
2017-11-01,1103.5,1100.99,1110.85,25.45638945233282,80.42779485422632,1106.6733333333334,1078.71,0,0,66,6,0,0.0,-551750.0,1595500.0,1043750.0,0.0010406026863853945,-0.051136363636363646
2017-11-02,1094.0,1094.0,1110.85,0.0,55.42779485422632,1101.0566666666666,1103.002,0,0,66,6,0,0.0,-547000.0,1595500.0,1048500.0,0.00455089820359289,-0.04681818181818176
2017-11-03,1111.55,1094.0,1111.55,100.0,55.42779485422632,1103.0166666666667,1105.114,0,0,66,6,0,0.0,-555775.0,1595500.0,1039725.0,-0.008369098712446399,-0.054795454545454536
2017-11-06,1120.46,1094.0,1120.46,100.0,56.364097363083204,1108.67,1107.036,1,1,66,6,500,500.0,0.0,1035270.0,1035270.0,-0.004284786842674748,-0.058845454545454534
2017-11-07,1123.14,1094.0,1123.14,100.0,75.0,1118.3833333333334,1110.53,-1,0,66,6,0,-500.0,-561570.0,1596840.0,1035270.0,0.0,-0.058845454545454534
2017-11-08,1132.86,1111.55,1132.86,100.0,100.0,1125.4866666666667,1116.402,0,0,66,6,0,0.0,-566430.0,1596840.0,1030410.0,-0.0046944275406415326,-0.0632636363636363
2017-11-09,1129.0,1120.46,1132.86,68.87096774193596,92.21774193548399,1128.3333333333333,1123.402,0,0,66,6,0,0.0,-564500.0,1596840.0,1032340.0,0.0018730408284080013,-0.06150909090909096
2017-11-10,1125.34,1123.14,1132.86,22.633744855965674,72.87617814947541,1129.0666666666666,1126.16,0,0,66,6,0,0.0,-562670.0,1596840.0,1034170.0,0.0017726717941763948,-0.059845454545454535
2017-11-13,1129.21,1125.34,1132.86,51.46276595744851,60.74186963883754,1127.8500000000001,1127.91,0,0,66,6,0,0.0,-564605.0,1596840.0,1032235.0,-0.0018710656855256413,-0.06160454545454552
2017-11-14,1136.84,1125.34,1136.84,100.0,60.74186963883754,1130.4633333333334,1130.65,0,0,66,6,0,0.0,-568420.0,1596840.0,1028420.0,-0.003695863829457413,-0.06507272727272728
2017-11-15,1127.09,1125.34,1136.84,15.217391304347828,47.32847552944051,1131.0466666666669,1129.4959999999999,1,1,66,6,500,500.0,0.0,1033295.0,1033295.0,0.004740281208066799,-0.06064090909090902
2017-11-16,1136.95,1127.09,1136.95,100.0,66.67003931544909,1133.6266666666668,1131.0859999999998,-1,0,66,6,0,-500.0,-568475.0,1601770.0,1033295.0,0.0,-0.06064090909090902
2017-11-17,1129.87,1127.09,1136.95,28.19472616632796,60.85302936766895,1131.3033333333333,1131.992,0,0,66,6,0,0.0,-564935.0,1601770.0,1036835.0,0.003425933542696047,-0.057422727272727125
2017-11-20,1126.56,1126.56,1136.95,0.0,35.85302936766895,1131.1266666666666,1131.462,0,0,66,6,0,0.0,-563280.0,1601770.0,1038490.0,0.0015962038318537708,-0.055918181818181534
2017-11-21,1139.58,1126.56,1139.58,100.0,57.048681541582,1132.0033333333333,1132.0099999999998,0,0,66,6,0,0.0,-569790.0,1601770.0,1031980.0,-0.006268717079605968,-0.061836363636363356
2017-11-22,1156.16,1126.56,1156.16,100.0,57.048681541582,1140.7666666666667,1137.824,1,1,66,6,500,500.0,0.0,1023690.0,1023690.0,-0.00803310141669411,-0.06937272727272703
2017-11-24,1186.41,1126.56,1186.41,100.0,75.0,1160.7166666666667,1147.716,-1,0,66,6,0,-500.0,-593205.0,1616895.0,1023690.0,0.0,-0.06937272727272703
2017-11-27,1195.62,1139.58,1195.62,100.0,100.0,1179.3966666666668,1160.866,0,0,66,6,0,0.0,-597810.0,1616895.0,1019085.0,-0.004498432142543196,-0.07355909090909074
2017-11-28,1193.6,1156.16,1195.62,94.88089204257479,98.7202230106437,1191.8766666666666,1174.2740000000001,0,0,66,6,0,0.0,-596800.0,1616895.0,1020095.0,0.0009910851401011556,-0.07264090909090892
2017-11-29,1161.21,1161.21,1195.62,0.0,73.7202230106437,1183.4766666666667,1178.6,0,0,66,6,0,0.0,-580605.0,1616895.0,1036290.0,0.01587597233590987,-0.05791818181818165
2017-11-30,1176.59,1161.21,1195.62,44.69630921243809,59.89430031375323,1177.1333333333332,1182.686,0,0,66,6,0,0.0,-588295.0,1616895.0,1028600.0,-0.007420702699051374,-0.0649090909090907
2017-12-01,1161.83,1161.21,1193.6,1.9141710404442525,35.37284307386429,1166.5433333333333,1177.77,0,0,66,6,0,0.0,-580915.0,1616895.0,1035980.0,0.007174800699980555,-0.05819999999999981
2017-12-04,1133.95,1133.95,1176.59,0.0,11.652620063220592,1157.4566666666667,1165.4360000000001,0,0,66,6,0,0.0,-566975.0,1616895.0,1049920.0,0.013455858221201211,-0.04552727272727253
2017-12-05,1141.58,1133.95,1176.59,17.893996247654563,16.12611912513423,1145.7866666666666,1155.032,0,0,66,6,0,0.0,-570790.0,1616895.0,1046105.0,-0.003633610179823221,-0.0489954545454544
2017-12-06,1152.94,1133.95,1161.83,68.11334289813519,21.980377546558508,1142.8233333333333,1153.3780000000002,0,0,66,6,0,0.0,-576470.0,1616895.0,1040425.0,-0.005429665282165708,-0.05415909090909077
2017-12-07,1160.0,1133.95,1160.0,100.0,46.501834786447446,1151.5066666666667,1150.06,1,1,66,6,500,500.0,0.0,1036895.0,1036895.0,-0.003392844270370232,-0.057368181818181596
2017-12-08,1161.99,1141.58,1161.99,100.0,71.50183478644745,1158.3100000000002,1150.092,-1,0,66,6,0,-500.0,-580995.0,1617890.0,1036895.0,0.0,-0.057368181818181596
2017-12-11,1169.15,1152.94,1169.15,100.0,92.0283357245338,1163.7133333333334,1157.132,0,0,66,6,0,0.0,-584575.0,1617890.0,1033315.0,-0.0034526157421918002,-0.060622727272726995
2017-12-12,1165.56,1160.0,1169.15,60.76502732240318,90.1912568306008,1165.5666666666666,1161.9279999999999,0,0,66,6,0,0.0,-582780.0,1617890.0,1035110.0,0.0017371275941993058,-0.05899090909090876
2017-12-13,1164.48,1161.99,1169.15,34.77653631284889,73.88539090881302,1166.3966666666668,1164.236,0,0,66,6,0,0.0,-582240.0,1617890.0,1035650.0,0.0005216836857917517,-0.058499999999999774
2017-12-14,1175.06,1164.48,1175.06,100.0,73.88539090881304,1168.3666666666666,1167.248,0,0,66,6,0,0.0,-587530.0,1617890.0,1030360.0,-0.005107903249167212,-0.06330909090909076
