Unnamed: 0,AMZN,AMZN_k_period_min,AMZN_k_period_max,AMZN_k_component_fast,AMZN_d_component_slow,AMZN_sma_fast,AMZN_sma_slow,AMZN_stoch_oscl_exit,AMZN_stoch_oscl_signal,%K_80,%K_20,AMZN_position,AMZN_entry_exit_position,AMZN_portfolio_holdings,AMZN_portfolio_cash,AMZN_portfolio_total,AMZN_portfolio_daily_returns,AMZN_portfolio_cumulative_returns
2017-10-30,1110.85,966.34,1110.85,100.0,50.21692395791765,1007.512,1007.0749999999999,1,0,94,25,0,500.0,555425.0,544575.0,1100000.0,0.0,0.0
2017-10-31,1105.67,966.34,1110.85,96.41547297764872,56.78930253041799,1017.18,1015.5941666666666,0,0,94,25,0,0.0,552835.0,544575.0,1097410.0,-0.002354545454545498,-0.002354545454545498
2017-11-01,1103.5,966.34,1110.85,94.91384679260958,67.79553637251368,1027.831,1023.6908333333332,0,0,94,25,0,0.0,551750.0,544575.0,1096325.0,-0.0009886915555717968,-0.0033409090909092276
2017-11-02,1094.0,966.34,1110.85,88.33990727285314,75.20521254285086,1038.571,1030.7749999999999,0,0,94,25,0,0.0,547000.0,544575.0,1091575.0,-0.00433265683077555,-0.007659090909091004
2017-11-03,1111.55,966.34,1111.55,100.0,85.13066163641086,1051.435,1040.3216666666667,0,0,94,25,0,0.0,555775.0,544575.0,1100350.0,0.008038842956278769,0.000318181818181662
2017-11-06,1120.46,966.34,1120.46,100.0,97.09560386330163,1066.847,1051.4766666666667,-1,-1,94,25,-500,-500.0,0.0,1104805.0,1104805.0,0.004048711773526614,0.004368181818181771
2017-11-07,1123.14,966.34,1123.14,100.0,97.09560386330163,1081.561,1063.1625,0,-1,94,25,-500,0.0,0.0,1104805.0,1104805.0,0.0,0.004368181818181771
2017-11-08,1132.86,966.34,1132.86,100.0,97.09560386330163,1097.556,1077.0391666666667,0,-1,94,25,-500,0.0,0.0,1104805.0,1104805.0,0.0,0.004368181818181771
2017-11-09,1129.0,966.34,1132.86,97.68196012490998,97.27653059862469,1113.202,1089.7891666666667,0,-1,94,25,-500,0.0,0.0,1104805.0,1104805.0,0.0,0.004368181818181771
2017-11-10,1125.34,966.34,1132.86,95.4840259428297,97.35798476294183,1115.6370000000002,1102.4916666666666,0,-1,94,25,-500,0.0,0.0,1104805.0,1104805.0,0.0,0.004368181818181771
